Questions,Answers
What is Peter Lynch's view on investing without doing research?,"Lynch says investing is fun, exciting, and dangerous if you don't do any work. Research is essential for investment success."
What is Peter's Principle #16?,"In business, competition is never as healthy as total domination."
What is Peter's Principle #17?,"All else being equal, invest in the company with the fewest color photographs in the annual report."
What is Peter's Principle #18?,"When even the analysts are bored, it's time to start buying."
What is Peter's Principle #19?,"Unless you're a short seller or a poet looking for a wealthy spouse, it never pays to be pessimistic."
What is Peter's Principle #20?,"Corporations, like people, change their names for one of two reasons: either they've gotten married, or they've been involved in some fiasco they hope the public will forget."
What is Peter's Principle #21?,"Whatever the queen is selling, buy it."
What is Peter's Principle #4?,You can't see the future through a rearview mirror.
What is Peter's Principle #5?,There's no point paying Yo-Yo Ma to play a radio (referring to paying loads for government bond funds).
What is Peter's Principle #6?,"As long as you're picking a fund, you might as well pick a good one."
What is Peter's Principle #7?,The extravagance of any corporate office is directly proportional to management's reluctance to reward the shareholders.
What is Peter's Principle #8?,"When yields on long-term government bonds exceed the dividend yield of the S&P 500 by 6% or more, sell your stocks and buy bonds."
What is Peter's Principle #9?,Not all common stocks are equally common.
What is Peter's Principle #12?,A sure cure for taking a stock for granted is a big drop in the price.
What is Peter's Principle #14?,"If you like the store, chances are you'll love the stock."
What is Peter's Principle #15?,"When insiders are buying, it's a good sign - unless they happen to be New England bankers."
What was Peter Lynch's main reason for retiring from managing the Magellan Fund?,"Lynch retired primarily to spend more time with his family. He realized he was missing his children's school plays, soccer games, and other important moments while being too focused on work."
How long did Peter Lynch manage the Fidelity Magellan Fund?,"Lynch managed the Magellan Fund for 13 years, from 1977 to 1990."
What is Peter's Principle #1?,"When the operas outnumber the football games three to zero, you know there is something wrong with your life."
What is Peter's Principle #3?,Never invest in any idea you can't illustrate with a crayon.
What is Peter Lynch's view on investing without doing research?,"Lynch says investing is fun, exciting, and dangerous if you don't do any work. Research is essential for investment success."
"According to Lynch, where does your real investor's edge come from?",Lynch teaches that your investor's edge isn't from Wall Street experts - it's something you already have from your own knowledge and experience.
How does Lynch say amateur investors can outperform professionals?,Lynch believes you can outperform experts by using your edge - investing in companies or industries you already understand from daily life.
Why does Lynch think the market is now easier for amateur investors?,"Lynch observes that professional investors now dominate the market in herds, which actually makes it easier for amateur investors who can ignore the herd."
What is Lynch's fundamental approach to stock analysis?,Lynch always reminds investors that behind every stock is a company - you must find out what the company is doing.
How does Lynch explain the relationship between company performance and stock prices?,"Lynch notes there's often no correlation between company success and stock performance short-term, but 100% correlation long-term. This disparity is key to making money."
What must investors know about their holdings according to Lynch?,Lynch insists you must know what you own and why you own it. Saying 'this baby is a cinch to go up!' doesn't count as analysis.
What is Lynch's view on long-shot investments?,"Lynch warns that long shots almost always miss the mark - focus on solid, understandable companies instead."
How does Lynch compare owning stocks to having children?,Lynch says owning stocks is like having children - don't get involved with more than you can handle. Quality over quantity.
How many companies can a part-time investor effectively follow according to Lynch?,"Lynch believes part-time stockpickers can follow 8-12 companies effectively, buying and selling as conditions warrant."
What is Lynch's recommended maximum portfolio size?,Lynch suggests there don't need to be more than 5 companies in a portfolio at any one time.
What is Lynch's most important rule about company finances?,Lynch emphasizes never investing in a company without understanding its finances - always check the balance sheet for solvency first.
Where do the biggest stock losses come from according to Lynch?,Lynch warns that the biggest losses come from companies with poor balance sheets - financial strength is crucial.
What types of stocks does Lynch recommend avoiding vs. buying?,"Lynch says avoid hot stocks in hot industries. Instead, buy great companies in cold, nongrowth industries - they're consistent big winners."
When should you invest in small companies according to Lynch?,Lynch recommends waiting until small companies turn a profit before investing - don't speculate on pre-profit companies.
How should you approach troubled industries according to Lynch?,"Lynch suggests buying companies with staying power in troubled industries, but wait for signs of industry revival first."
What does Lynch say about investment risk vs. reward potential?,"Lynch points out you can lose maximum $1,000 on a $1,000 investment, but stand to gain $10,000 or $50,000 over time with patience."
How many big winners does Lynch say you need for investment success?,Lynch believes it only takes a handful of big winners to make a lifetime of investing worthwhile.
How does Lynch want investors to view market declines?,"Lynch teaches that stock market declines are as routine as January blizzards in Colorado - if prepared, they can't hurt you."
What opportunity do market declines create according to Lynch?,Lynch sees declines as great opportunities to pick up bargains left behind by panicking investors.
What does Lynch say about brainpower vs. emotional control in investing?,"Lynch observes everyone has the brainpower to make money in stocks, but not everyone has the stomach for volatility."
Who should avoid stock investing according to Lynch?,"Lynch warns that if you're susceptible to selling everything in a panic, you should avoid stocks and stock mutual funds altogether."
What should guide your selling decisions according to Lynch?,"Lynch advises selling because company fundamentals deteriorate, not because of scary headlines or dire predictions about the economy."
What does Lynch say about economic and market predictions?,"Lynch states nobody can predict interest rates, future economic direction, or stock market movements - dismiss all such forecasts."
What should you focus on instead of forecasts according to Lynch?,Lynch recommends concentrating on what's actually happening to the companies you've invested in rather than macro predictions.
What is Lynch's research success ratio?,"Lynch teaches that if you study 10 companies, you'll find 1 with a better story than expected. Study 50, you'll find 5."
What happens when you don't research companies according to Lynch?,Lynch warns that not studying companies gives you same success as playing poker without looking at your cards.
What is Lynch's example of patience being rewarded?,"Lynch notes even missing Wal-Mart in first five years, it was still great to own in the next five years."
When does time work against investors according to Lynch?,Lynch warns time is against you when you own options due to their expiration dates.
What does Lynch warn about frequent mutual fund switching?,Lynch notes the capital-gains tax penalizes investors who do too much switching between mutual funds.
